disc_id,name,cd_pn,case_pn,date,name,note,contributor,date_added
194,"IRIX 5.3",812-0553-001,814-0553-001,1996-05-01,"IRIX 5.2, 5.3, and 5.3XFS IP19 Required Patch Set 5/96",,jrra,
22,"IRIX 5.3",812-0119-006,813-0119-006,1994-11-01,"IRIX 5.3",,jrra,
182,"IRIX 5.3",812-0119-010,,1995-12-01,"IRIX 5.3 All Indigo2 IMPACT",,jrra,
295,"IRIX 5.3",812-0324-001,813-0324-001,1994-12-01,"IRIX 5.3 Onyx RE/REII Patch","IRIX 5.3 Onyx RE and REII Patch",jrra,2021-05-23
262,"IRIX 5.3",812-0119-009,812-0119-009,1995-09-01,"IRIX 5.3 for Indigo2 Impact",,jrra,2021-05-23
23,"IRIX 5.3",812-0336-002,813-0336-002,1995-08-01,"IRIX 5.3 for Indy","R4000, R4400, R4600 (100-200 MHz)",jrra,
139,"IRIX 5.3",812-0336-004,,1996-02-01,"IRIX 5.3 for Indy including R5000",,jrra,
235,"IRIX 5.3",812-0119-008,813-0119-008,1995-08-01,"IRIX 5.3 with 175Mhz and 2MB cache support",,jrra,2020-10-15
285,"IRIX 5.3",812-0361-001,813-0361-001,1995-06-01,"IRIX 5.3 with XFS Patch CD",,jrra,2021-05-23
63,"IRIX 5.3",812-0128-005,813-0128-005,1994-11-01,"Network File System 5.3","aka NFS for IRIX 5.3",jrra,
291,"IRIX 6.0",812-0303-001,812-0303-001,1994-08-01,"Diagnostics 6.0",,jrra,2021-05-23
290,"IRIX 6.0",812-0303-002,813-0303-002,1995-02-01,"Diagnostics 6.0.1",,jrra,2021-05-23
287,"IRIX 6.0",812-0297-001,812-0297-001,1994-08-01,"IRIS Development Option 6.0",,jrra,2021-05-23
286,"IRIX 6.0",812-0302-001,812-0302-001,1994-08-01,"IRIX 6.0",,jrra,2021-05-23
289,"IRIX 6.0",812-0305-001,812-0305-001,1994-08-01,"Network File System 6.0",,jrra,2021-05-23
276,"IRIX 6.0",812-0315-001,812-0315-001,1994-09-01,"Sirius Video 6.0",,jrra,2021-05-23
303,"IRIX 6.1",812-0383-001,813-0383-001,1995-07-01,"IRIS Development Option 6.1",,jrra,2021-05-23
322,"IRIX 6.1",812-0382-001,813-0382-001,1995-07-01,"IRIX 6.1",,jrra,2021-05-23
319,"IRIX 6.1",812-0305-003,813-0305-003,1995-07-01,"Network File System 6.1",,jrra,2021-05-23
193,"IRIX 6.2",812-0652-001,814-0652-001,1997-02-01,"IP19/IP21/IP25 Patchsets 2/97 for IRIX 6.2",,jrra,
17,"IRIX 6.2",812-0478-001,814-0478-001,1996-03-01,"IRIS Development Option 6.2",,jrra,
24,"IRIX 6.2",812-0469-001,814-0469-001,1996-03-01,"IRIX 6.2 (Part 1 of 2)","Supported Systems: Indy, Indy R5K, Indigo2, Indigo2 R4K, Indigo2 Impact, Crimson (except GTX), Onyx, Onyx InfiniteReality, Onyx InfiniteReality 10000, Power Onyx, Challenge, Power Challenge, Power Challenge 10000",jrra,
25,"IRIX 6.2",812-0470-001,814-0469-001,1996-03-01,"IRIX 6.2 (Part 2 of 2)","Supported Systems: Indy, Indy R5K, Indigo2, Indigo2 R4K, Indigo2 Impact, Crimson (except GTX), Onyx, Onyx InfiniteReality, Onyx InfiniteReality 10000, Power Onyx, Challenge, Power Challenge, Power Challenge 10000",jrra,
26,"IRIX 6.2",812-0542-001,814-0542-001,1996-05-01,"IRIX 6.2 Applications May 1996",,jrra,
149,"IRIX 6.2",812-0542-003,814-0542-003,1997-08-01,"IRIX 6.2 Auxiliary Applications",,Ciao!,
